"#Tasks",,,,,,,
"Title","Description","Required (yes, no)","Due by (X days after...)","After","Action Item (Create meeting, set up goal, none)","Action Item ID","Assignee (Mentee, Mentor)"
"Read the Mentor Handbook","This is an important step to understand best practices for success as well as the differences between mentor and mentee roles.","yes",5,"Start","none",,"Mentor"
"Read the Mentee Handbook","This is an important step to understand best practices for success as well as the differences between mentor and mentee roles.","yes",5,"Start","none",,"Mentee"
"Introduce yourself to your mentor",,"yes",5,"Start","none",,"Mentee"
"Agree upon a recurring meeting schedule","Decide how frequently you both want to meet as well as a recurring date and time.","yes",7,"Start","none",,"Mentee"
"Set up recurring meeting time ",,"yes",7,"Start","Create meeting",,"Mentee"
,,,,,,,
"#Facilitation Messages",,,,,,,
"Subject","Content","For","Send after (in days)",,,,
"Message to Mentor at start of mentoring connection","<div> <p> As you embark upon your mentoring relationship with your mentee, we strongly encourage you to take a few minutes to plan for the relationship in order to make the most of the experience.</p> <p> Establish an agreement with your mentee regarding mutual expectations and goals. Suggested topics are:</p> <ol> <li> <strong>Frequency of contact</strong> - How often do you and your mentee plan to communicate?</li> <li> <strong>Absences from communication</strong> - Agree to let each other know when you will not be able to maintain that frequency.</li> <li> <strong>Duration of the relationship</strong> - Relationships are designed to last for a 6 months. Do you and your mentees have an idea for a different duration?</li> <li> <strong>Establishing goals</strong> - What do you really want to accomplish in this experience?</li> <li> <strong>Providing feedback</strong> - Agree to let each other know in positive terms how to further improve the relationship.</li> </ol> <p> You may wish to continue these discussions as the relationship evolves, but now is the time to start planning for these hot-button topics. In the next few weeks, you will receive more messages expanding on how to handle these topics.</p> <p> As your mentoring experience progresses, we want to hear from you. How to provide feedback:</p> <ol> <li> <strong>Program Evaluation Survey</strong> - At the end of the mentoring period, you will be asked to fill out a short online evaluation. We rely on your feedback to improve our programs.</li> <li> <strong>Problems and Suggestions</strong> - If at any time you have any problems or suggestions regarding your mentoring experience, please send your admin a message. We are here to help!</li> </ol> <p> If at any time during your mentoring connection you feel that you cannot fulfill your part of this commitment, please let your admin and your mentee know. Also, if you feel that your mentee is having trouble maintaining the relationship, let us know. We are committed to helping all our members find their way to successful mentoring relationships.</p> <p> Good luck!</p></div><br />","Mentor",0,,,,
"Message to mentee at start of connection","<div> <p> As you embark upon your mentoring relationship with your mentor, we strongly encourage you to take a few minutes to plan for the relationship and how to make the most of the experience.</p> <p> An effective practice is to establish an agreement with your mentor regarding mutual expectations and goals. Suggested topics are:</p> <ul> <li> <strong>Frequency of contact</strong> - How often do you and your mentee plan to communicate?</li> <li> <strong>Absences from communication</strong> - Agree to let each other know when you will not be able to maintain that frequency.</li> <li> <strong>Duration of the relationship</strong> - Relationships are designed to last for a pre-determined duration. Do you and your mentees have an idea for a different duration?</li> <li> <strong>Establishing goals</strong> - What do you really want to accomplish in this experience?</li> <li> <strong>Providing feedback</strong> - Agree to let each other know in positive terms how to further improve the relationship.</li> </ul> <p> You should continue these discussions as the relationship evolves, but now is the time to start planning for these hot-button topics. In the next few weeks, you will receive more messages expanding on how to handle these topics.</p> <p> As your mentoring experience progresses, we want to hear from you. How to provide feedback:</p> <ul> <li> <strong>Program Evaluation Survey</strong> - At the end of the mentoring period, you will be asked to fill out a short online evaluation. We rely on your feedback to improve our programs.</li> <li> <strong>Problems and Suggestions</strong> - If at any time you have any problems or suggestions regarding your mentoring experience, please send your admin a message. We are here to help!!</li> </ul> <p> If at any time during your mentoring connection you feel that you cannot fulfill your part of this commitment, please let your admin and your mentor know. Also, if you feel that your mentor is having trouble maintaining the relationship, let us know. We are committed to helping all members find their way to successful mentoring relationships.</p> <p> Good luck!</p></div><br />","mentee",0,,,,
