Section Name,Section Description,Field Name,Field Type,Allow Multiple Responses,Options,Options Count,Allow to Specify Different Answer,Field Description,Include for Mentor|Mentee,Include in Profile,Include in Membership Form,Visibility,Editable by Admin Only,Mandatory,Show in Listing,Available for Search
Basic Information,,Location,location,,,,,,yes,yes,yes|no,everyone,no,no,yes,yes
Basic Information,,Phone,string,,,,,,yes,yes,no,user_and_his_members,no,no,no,no
Basic Information,,Skype ID,skype_id,,,,,"Your skype status will be shown only to connected members. Please make sure you have enabled the <a href=""http://forum.skype.com/index.php?s=&amp,showtopic=60479&amp,view=findpost&amp,p=1475951"" target=""blank"">skype privacy setting</a> for showing your online web status.",yes,yes,no,user_and_his_members,no,no,no,no
Work and Education,,Education,education,yes,,,,,yes,yes,no,everyone,no,no,yes,yes
Work and Education,,Work,experience,yes,,,,,yes,yes,no,everyone,no,no,yes,yes
Work and Education,,Publication,publication,yes,,,,,yes,yes,no,everyone,no,no,yes,yes
Work and Education,,Manager,manager,yes,,,,,yes,yes,no,everyone,no,no,yes,yes
Mentoring Profile,,About Me,text,,,,,,yes,yes,no,everyone,no,no,no,yes
Mentoring Profile,,Gender,multi_choice,no,"Male,Female",,no,,yes,yes,no,everyone,no,no,no,yes
Mentoring Profile,,Industry,multi_choice,no,"Accounting,Airlines/Aviation,Alternative Dispute Resolution,Alternative Medicine,Animation,Apparel & Fashion,Architecture & Planning,Arts and Crafts,Automotive,Aviation & Aerospace,Banking,Biotechnology,Broadcast Media,Building Materials,Business Supplies and Equipment,Capital Markets,Chemicals,Civic & Social Organization,Civil Engineering,Commercial Real Estate,Computer & Network Security,Computer Games,Computer Hardware,Computer Networking,Computer Software,Construction,Consumer Electronics,Consumer Goods,Consumer Services,Cosmetics,Dairy,Defense & Space,Design,Education Management,E-Learning,Electrical/Electronic Manufacturing,Entertainment,Environmental Services,Events Services,Executive Office,Facilities Services,Farming,Financial Services,Fine Art,Fishery,Food & Beverages,Food Production,Fund-Raising,Furniture,Gambling & Casinos,Glass Ceramics & Concrete,Government Administration,Government Relations,Graphic Design,Health Wellness & Fitness,Higher Education,Hospital & Health Care,Hospitality,Human Resources,Import and Export,Individual & Family Services,Industrial Automation,Information Services,Information Technology and Services,Insurance,International Affairs,International Trade and Development,Internet,Investment Banking,Investment Management,Judiciary,Law Enforcement,Law Practice,Legal Services,Legislative Office,Leisure Travel & Tourism,Libraries,Logistics and Supply Chain,Luxury Goods & Jewelry,Machinery,Management Consulting,Maritime,Marketing and Advertising,Market Research,Mechanical or Industrial Engineering,Media Production,Medical Devices,Medical Practice,Mental Health Care,Military,Mining & Metals,Motion Pictures and Film,Museums and Institutions,Music,Nanotechnology,Newspapers,Non-Profit Organization Management,Oil & Energy,Online Media,Outsourcing/Offshoring,Package/Freight Delivery,Packaging and Containers,Paper & Forest Products,Performing Arts,Pharmaceuticals,Philanthropy,Photography,Plastics,Political Organization,Primary/Secondary Education,Printing,Professional Training & Coaching,Program Development,Public Policy,Public Relations and Communications,Public Safety,Publishing,Railroad Manufacture,Ranching,Real Estate,Recreational Facilities and Services,Religious Institutions,Renewables & Environment,Research,Restaurants,Retail,Security and Investigations,Semiconductors,Shipbuilding,Sporting Goods,Sports,Staffing and Recruiting,Supermarkets,Telecommunications,Textiles,Think Tanks,Tobacco,Translation and Localization,Transportation/Trucking/Railroad,Utilities,Venture Capital & Private Equity,Veterinary,Warehousing,Wholesale,Wine and Spirits,Wireless,Writing and Editing",,no,,yes|no,yes|no,no|no,everyone,no|no,no|no,no|no,yes|no
