id,uid,program_name,enabled?,source,subject
433,InviteNotificationFromAdmin,Professional Mentorship Program for MBAs,yes,"<p>
 Hello,
 <br />
 Welcome and thank you for&nbsp;your interest in&nbsp;the Leeds Professional Mentorship Program (PMP) for MBA students!&nbsp;&nbsp;To complete an application and join the program, please read the directions below and then click on the link at the end of this email to get started.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
<ol>
 <li>
 Please create your Username and Password to Sign In. (Remember to save this information so you can access the system in the future!)</li>
 <li>
 Save and publish your Mentor Profile &ndash; you are now part of the PMP online community!</li>
</ol>
<p>
 Mentors generally are assigned based on student preferences at the beginning of the Spring Semester (mid-January).&nbsp; If we do not have a student mentee for you at this time, you are still welcome participate in networking and other program events until we find a good match for you.<br />
 <br />
 Please&nbsp;<a href=""{{url_invitation}}"">Click here</a>&nbsp;to begin!<br />
 <br />
 </p>
",Welcome to Leeds Professional Mentorship Program for MBAs
553,InviteExpiryNotification,Leeds Peer2Peer Mentoring Program,yes,"Hello,<br />
<br />
Your invitation to join <a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a> as&nbsp;a mentee&nbsp;is going to expire on {{invitation_expiry_date}}.&nbsp; I really hope that you will join the program and take advantage of this fabulous opportunity. &nbsp;Space is limited- so sign up now!<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up as a mentee for the {{subprogram_or_program_name}}.<br />
<br />
I look forward to working with you!<br />
<br />
Sally Forester<br />
Director, Peer2Peer mentoring program<br />
<a href=""mailto:sally.forester@colorado.edu"">sally.forester@colorado.edu</a>",Your invitation to join P2P as a mentee is about to expire!
572,InviteNotificationFromAdmin,Leeds Peer2Peer Mentoring Program,yes,"Hello,<br />
<br />
I would like to personally invite you to be a mentee in the Peer2Peer mentoring program.&nbsp; This is a great opportunity to connect with the Leeds Business School, get some helpful tips from current students to ensure your success at Leeds, and connect with faculty and staff.<br />
<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to sign up for the Peer2Peer program.<br />
<br />
Looking forward to working with you!<br />
<br />
Sally Forester<br />
Director, Leeds Peer2Peer mentoring program<br />
<a href=""mailto:Sally.Forester@colorado.edu"">Sally.Forester@colorado.edu</a>",You are invited to join the Peer2Peer mentoring program!
670,InviteNotificationFromAdmin,SMU Alumni Mentoring Programme,yes,"<p>
 Welcome to the {{subprogram_or_program_name}}!<br />
 <br />
 Here&#39;s the first step to get you started. Please visit the Mentoring website through the link below and complete your profile to find your best mentoring match.</p>
<br />
<a href=""{{url_invitation}}"">Click here</a> to&nbsp;join the {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br />
<br />
<br />
Wishing you a great mentoring journey ahead!<br />
<br />
<br />",Invitation: The {{subprogram_or_program_name}} invites you to join {{as_role_name_articleized}}
853,InviteNotificationWithoutRoles,Hoya Gateway,yes,"Hello,<br />
<br />
Greetings from the Hilltop! You have been invited to join <a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a> by {{invitor_name}}. &nbsp;Hoya Gateway is a new and innovative program at Georgetown designed to connect students and alumni for one-on-one, in-person meetings (either an informational interview, mock interview, or resume review), to prepare students to explore and reach their career goals and aspirations. &nbsp;Hoya Gateway provides a significant opportunity for alumni to share with students their industry expertise, knowledge, and career advice.<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for <a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a>&nbsp;today!&nbsp;<br />
<br />
Please contact Whitney Pezza, Associate Director, Alumni Career Services, with any questions at wcp9@georgetown.edu.&nbsp;<br />
<br />
",Invitation: You are invited to join {{subprogram_or_program_name}}
855,InviteNotificationFromAdmin,Young Alumni Mentors Program,no,"Hello,<br />
<br />
We would like to invite you to participate in the&nbsp;{{subprogram_or_program_name}} {{as_role_name_articleized}}.<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for the {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br />
<br />
We hope you will consider joining us for this exciting mentoring program!<br />
<br />",Join the Leeds Young Alumni mentoring program
1040,InviteExpiryNotification,ICT Mentoring,yes,"Hallo,<br />
<br />
Deine Einladung f&uuml;r das Mentoring Programm &quot;&nbsp;<a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a>&nbsp;&quot; l&auml;uft am {{invitation_expiry_date}} ab.&nbsp;<br />
<br />
<a href=""{{url_invitation}}"">Klicke hier</a>, um die Einladung anzunehmen und dich einzuschreiben.<br />
<br />
<br />",Deine Einladung als {{role_name}} läuft demnacht ab.
1090,InviteNotificationFromAdmin,Family Link Parent-to-Parent Mentoring,yes,"Hello,<br />
<br />
Thank you for becoming a Family Link Parent Mentor!<br />
<br />
You have been added {{as_role_name_articleized}} to <span class=""cjs-tool-tip"" data-desc=""Relevant program/subprogram name"" data-original-title="""">{{subprogram_or_program_name}}.</span>&nbsp; You will be able to manage your Mentor/Mentee relationship using this system.<br />
<br />
To get started, <a href=""{{url_invitation}}"">click here</a> to accept the invitation and sign up for the {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br />
<br />
You will be notified when you have been matched.&nbsp; Please reach out and make contact within 2 weeks of your notification.&nbsp;<br />
<br />
If you have any questions, please email <a href=""mailto:parentmentor@diabetes.org"">parentmentor@diabetes.org</a><br />
<br />",Invitation:You are invited to join {{subprogram_or_program_name}}
1215,InviteNotificationWithoutRoles,Gates Millennium Scholars Mentoring Program,yes,"Greetings,<br />
<br />
You have been invited to join <a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a> by {{invitor_name}}.<br />
<br />
The goal of the GMS Mentoring program is to:<br />
<br />
Encourage the development of caring and supportive relationships amongst Scholars and Alumni which increase leadership in action, increase service to others, academic excellence, the successful management of real-life situations and networking.<br />
We hope you take full advantage of this opportunity to engage with other GMS Scholars and the associated benefits of having a mentor.<br />
<br />
The videos below should help you navigate the platform so that your mentoring experience is successful. If you have additional questions, feel free to message the system administrator.<br />
&nbsp;<br />
Helpful Videos:<br />
&nbsp;<br />
Learn about the Mentoring Area: http://www.youtube.com/watch?v=cS6Fdmd-iXY&amp;feature=youtu.be&amp;hd=1<br />
Learn about your Mentoring Profile: http://www.youtube.com/watch?v=cS6Fdmd-iXY&amp;feature=youtu.be&amp;hd=1<br />
<br />
Learn about the homepage, features, and navigation: http://youtu.be/TpIRNYzwL38?hd=1<br />
<br />
Learn about Mentoring Milestones: https://www.youtube.com/watch?v=wb_PSlfemuQ<br />
<br />
We look forward having you as part of our program!<br />
<br />
Best,<br />
Kelvin J. Harris<br />
Gates Millennium Scholars Program<br />
Relationship Manager for Mentoring<br />
Mentoring@gmsp.org<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for <a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a><br />
<br />",Invitation: You are invited to join {{subprogram_or_program_name}}
1259,InviteNotificationFromAdmin,Gates Millennium Scholars Mentoring Program,yes,"Greetings,<br />
<br />
You are invited to join the {{subprogram_or_program_name}} {{as_role_name_articleized}} by {{invitor_name}}.<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br />
<br />
The goal of the GMS Mentoring program is to:<br />
<br />
Encourage the development of caring and supportive relationships amongst Scholars and Alumni which increase leadership in action, increase service to others, academic excellence, the successful management of real-life situations and networking.<br />
We hope you take full advantage of this opportunity to engage with other GMS Scholars and the associated benefits of having a mentor.<br />
<br />
The videos below should help you navigate the platform so that your mentoring experience is successful. If you have additional questions, feel free to message the system administrator.<br />
&nbsp;<br />
Helpful Videos:<br />
&nbsp;<br />
Learn about your Mentoring Profile: http://www.youtube.com/watch?v=cS6Fdmd-iXY&amp;feature=youtu.be&amp;hd=1<br />
<br />
Learn about the homepage, features, and navigation: http://youtu.be/TpIRNYzwL38?hd=1<br />
<br />
Learn about Mentoring Milestones: https://www.youtube.com/watch?v=wb_PSlfemuQ<br />
<br />
We look forward having you as part of our program!<br />
<br />
<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br />
<br />
<br />
Best,<br />
Kelvin J. Harris<br />
Gates Millennium Scholars Program<br />
Relationship Manager for Mentoring<br />
Mentoring@gmsp.org<br />",Invitation: {{invitor_name}} invites you to join {{as_role_name_articleized}}
2120,InviteNotificationWithoutRoles,ASHM Regional Professional Societies,no,"You have been invited to join the ASHM Leadership, Networking and Mentoring program associated with the AIDS2014 Conference. Recipients of Commonwealth of Australia Department of Foreign Affairs and Trade Australian Fellowship Awards to attend AIDS 2014 are automatically enrolled in a 4 day course on Leadership and the HIV response conducted in Melbourne on July 17th, 18th, 26th and 27th. The purpose of this course is to support current and future leaders from different countries to get the maximum benefit from attending the conference and also learn and share about how their leadership can be used to the maximum possible benefit in their home countries on their return.<br />
<br />
Running alongside this course, the Australasian Society of HIV Medicine is hosting a networking and mentoring facility. This is a web-based program that will help keep you connected to the leadership and networking program before, during and after the conference, will help you to communicated with and share information with the programs that have brought you to Australia during the conference.<br />
<br />
Your contact for this program is Dr Nick Medland who can be contacted on nick.medland@ashm.org.au<br />
<br />
You have been invited to join <a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a> by {{invitor_name}}.<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for <a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a><br />
<br />","ASHM Leadership, Networking and Mentoring Program"
2399,InviteNotificationFromAdmin,LMG Mentoring,yes,"Hello,&nbsp;
<div>&nbsp;</div>

<div>Welcome to the&nbsp;East Africa Women&#39;s Mentoring Network! You have been invited to join {{as_role_name_articleized}} by {{invitor_name}}.&nbsp;<br />
</div>

<div>&nbsp;</div>

<div><a href=""{{url_invitation}}"" style=""color: rgb(17, 85, 204);"" target=""_blank"">Click here</a>&nbsp;to accept the invitation and sign up for the&nbsp;Mentoring Network.&nbsp;For a few tips about completing and publishing your profile,&nbsp;<a href=""https://www.youtube.com/watch?v=uuau0ONegi0&amp;feature=youtu.be"" style=""color: rgb(17, 85, 204);"" target=""_blank"">click here</a>.&nbsp;</div>

<div>&nbsp;</div>

<div>Thanks,&nbsp;</div>

<div>&nbsp;</div>

<div>Your Administrators</div>
<br />",Invitation: {{invitor_name}} invites you to join {{as_role_name_articleized}}
2466,InviteNotificationFromAdmin,Comcast Mentoring,yes,"Hello,<br />
<br />
You are invited to join the {{subprogram_or_program_name}} {{as_role_name_articleized}} by {{invitor_name}}.<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br />
<br />
Thanks,<br />
Alicia Taylor<br />
Administrator, Comcast eMentor<br />
<a href=""mailto:Alicia.Taylor@cable.comcast.com"">Alicia.Taylor@cable.comcast.com</a>",Comcast eMentor Invitation: {{invitor_name}} invites you to join {{as_role_name_articleized}}
429,InviteNotificationFromAdmin,Professional Mentorship Program for Undergraduates,yes,"Hello,<br /><br />Thank you for your interest in the Professional Mentorship Program (PMP)!<br /><br />The PMP offers a one-on-one mentoring relationship between business professionals and upper classmen in CU&rsquo;s Leeds School of Business! The mentoring partnership is designed to provide mentees a help guide for the last two years of college by providing career advice, assistance with networking skills, expertise on your chosen area of emphasis, and a wide range of connections in your industry of interest.<br /><br /><strong><em>MENTORING MAKES A DIFFERENCE! </em></strong>Students who participated in this program were <strong><em>40% more likely to have a job</em></strong> upon graduation than those who did not.<br /><ul><li>Please <a href=""{{url_invitation}}"">Click here</a> to SIGN UP NOW!</li></ul>Please allow about 10 &ndash; 15 minutes to complete your online Profile. Once you have completed your application, you&#39;ll be a part of the program right away!<br /><br />Mentor/student matches will be made during the summer months and you will be notified of your match in September. If you join the program after the matching period, we may not be able to match you right away; however, we do have other short-term, co-curricular mentoring opportunities that come up throughout the year. These project-based opportunities are a great way to get to know the PMP before being officially matched with one of our students. We also encourage you to attend our events in the meantime!<br /><br />We hope this mentoring partnership facilitates great value for both mentor and mentee! Please do not hesitate to contact us if you have any questions regarding program requirements and expectations, using the mentoring software or the program in general. The best method of contacting the office is by emailing <a href=mailto:leedspmp@colorado.edu"">leedsmentoring@colorado.edu</a>. We hope to welcome you to the program soon!<br /><br />Best"",<br />Katie Connor<br />Director,"" Leeds Mentoring Office<br />",Leeds Professional Mentorship Program
444,InviteExpiryNotification,Professional Mentorship Program for Undergraduates,yes,"Hello,<br /><br />Thank you for your interest in the <span class=cjs-tool-tip"" data-desc=""Relevant program/subprogram name"" data-original-title="""">{{subprogram_or_program_name}}&nbsp;your support is essential to the success of this program.</span>&nbsp;We wanted to remind you that your invitation to&nbsp;<a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a> {{as_role_name_articleized}} is going to expire on {{invitation_expiry_date}}.<br /><br /><a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for the {{subprogram_or_program_name}} {{as_role_name_articleized}}.""",Your invitation to join {{as_role_name_articleized}} is about to expire
455,InviteNotificationFromAdmin,Carlson School Mentorship Program,no,"Greetings!<br /><br /><div> Last year you participated in the 2010-2011 Carlson School of Management&nbsp;Undergraduate Mentorship Program. &nbsp;I hope you are again willing to serve&nbsp;as a mentor for the upcoming school year. &nbsp;We continue to focus our&nbsp;efforts on matching Carlson School sophomores, juniors and seniors with&nbsp;members of the professional business community. I look forward to your&nbsp;participation in 2012-2013!<br /> <br /> This year we are using a new mentorship program software and all participants will need to complete a new profile. &nbsp;<a href=""{{url_invitation}}"">Click here</a>&nbsp;to complete your profile. On your profile, please make sure to indicate if you want to be paired with your mentee from last year as well as if you&rsquo;re interested in being paired with students who are part of the Entrepreneurship Club, Supply Chain and Operations Club or students that have a co-major in Public and Non-Profit Management.</div><br />The deadline to complete your profile is Wednesday, October 3rd. The Kick-Off Event will be held on Wednesday, October 24th from 5:00-7:30pm.<br /><br />I realize that other personal and professional commitments may not make it possible for you to participate this year. If that is the case, please let me know. If I do not hear a response back from you, I will assume you are not interested in participating.<br /><br /><div> If you have names and contact information for potential mentors, please send me that&nbsp;information and I will email them information on how to apply.</div><div> &nbsp;</div><div> Thank you for your continued support of the Carlson School and please let me know if you have any questions.<br /> <br /> Warmly,<br /> Sarah Oehler</div>",{{subprogram_or_program_name}} - Call for Returning Mentors
